symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
TSLA,2023-12-31,2023,FY,30.49409169686466,4.7263273987710726,4.17709153930991,1.3729320939026313,9.167795809043643,20.04380022057665,19.850007877737514,19.736568457538993,1.5166220261540886,788551280000,781726280000,52.57359023934929,8.148463724385934,59.48636692818346,180.98491622676153,12.58982788900597,12.58982788900597,8.077937854566873,52.833622600702896,58.97150573325287,179.41847142529264,0.019020957013727757,0.005525322335409816,0.0743525880512182,0.04367930368230505,-0.46127331711273317,1.7258939752330598,56.993589743589745,0.8852677975156938,0,0,0,0.04101350583323861,0.005768256767150012,0.6713186481593241,0.0919574674754322,1.9067923719734305,0.018724230932181497,45.813026486123114,0.19838354092674731,0.1414959953963567,-1.4088545769654954,20868000000,62994000000,6607000000,66606000000,3230000000,14843000000,13232500000,13.23116985109483,66.57963925018645,62.865647870767134,27.5863740022805,5.482156468713187,5.806032584764421,0.23947057508701344,2.804159445407279
TSLA,2022-12-31,2022,FY,26.026198083067094,4.020127795527157,4.704153354632588,2.412779552715655,7.087859424920127,14.663897763578275,14.47444089456869,14.282428115015975,0.7143769968051118,385553400000,375048400000,30.640816975284114,4.73292332621345,26.185370823145885,51.05315148305085,8.624583929849678,8.624583929849678,4.603967494046304,21.240777028940364,25.47190980711763,49.662129237288134,0.03263620551653804,0.019587429393697474,0.045745347172512524,0.024836648934878185,-0.5949481791923883,1.53195552061103,71.49738219895288,1.172666454284804,0,0,0,0.03774766148633719,0.007202020938084481,0.48709589785384405,0.0880410498146375,2.0242732147897264,0.019150033144288134,35.94282530196911,0.2680099753592866,0.15392990396966175,-1.7960063897763578,14208000000,45305000000,4477000000,51436000000,2432500000,12640000000,9298000000,13.226780584812552,91.8687818640796,77.31912752231517,27.59552845528455,3.9730580137659786,4.720694758158735,0.28147369362920543,2.291373801916933
TSLA,2021-12-31,2021,FY,18.189591078066915,1.866846907739101,3.8854342683338965,1.1770868536667793,5.98411625549172,10.673538357553227,10.093274754984792,10.202433254477864,1.9307198377830348,1042337340000,1033634340000,188.69249456915279,19.366020846106682,90.66168043837523,299.2642377260982,34.52705753751366,34.52705753751366,19.204324173680398,107.39058077922078,89.90470035661477,296.7655297157623,0.005299627853685065,0.003341528568860442,0.17695186988638245,0.08597962369831486,-0.9042077922077922,1.3752854605430094,17.5822102425876,2.083167240442109,0,0,0,0.04817643015067908,0.027635157972670646,0.6970514047142733,0.14889545361648365,2.753005839917554,0.03940694498634413,20.701293966370145,0.16335492838003898,0.09143575992319661,-2.8819702602230484,7395000000,29866000000,-3448000000,40284000000,1899500000,8038000000,4929000000,12.972985526633597,90.98453390357311,52.249173235199045,28.135389440669105,4.011670822942643,6.985756470383881,0.18298055583159428,2.7083474146671174
TSLA,2020-12-31,2020,FY,10.95,0.2503472222222222,2.0635416666666666,0.9378472222222223,6.730555555555555,8.221875,8.041319444444444,7.717013888888889,3.826041666666667,677433600000,671328600000,939.5750346740638,21.481278538812784,113.98849066128219,250.80844131803036,30.480701912260965,30.480701912260965,21.2876902587519,158.93196022727273,112.96123170116103,248.54816734542763,0.0010643109523944486,0.00398710663303385,0.46213723284589425,0.19695865613254582,-1.4453125,1.8751403705783267,-2.665775401069519,8.61304347826087,0,0,0,0.047279299847793,0.009971619237554652,0.5455157327948847,0.10280314561136479,1.396210163652024,0.05498477929984779,6.593063953580835,-0.045834943983506946,0.013965290152630356,-1.9513888888888888,12469000000,23159000000,-1752000000,36367000000,1605000000,4911000000,3826500000,21.828703703703702,88.67802939050831,60.100578173934,16.721102863202546,4.116013882002974,6.073152889539137,0.03244094488188976,1.1256944444444446
TSLA,2019-12-31,2019,FY,9.257250470809792,-0.32467043314500943,0.9058380414312618,0.36459510357815444,2.360828625235405,3.054613935969868,2.8523540489642185,2.4926553672316385,4.7028248587570625,74047950000,82382950000,-85.90249419953597,3.0127736186833753,30.7891683991684,76.49581611570248,11.188871260199456,11.188871260199456,3.3518980388965742,37.894641214351424,34.254864864864864,85.10635330578512,-0.011641105526891697,0.013072610382866778,1.7831671199758234,0.34396222565507595,3.8339466421343147,1.1346207931002157,0.10072992700729927,0.0,0,0,0,0.05464236308894133,0.01565186977178,0.5954261954261955,0.058263487671901704,0.6845124282982792,0.03653674017413947,4.267207365433205,0.004365792596481158,-0.025524102807059103,-6.464030131826742,1436000000,7573000000,-14096000000,22169000000,1136500000,3588000000,3332500000,19.662299617544146,67.11273099614803,63.21517382612512,18.563444108761328,5.438610448156988,5.77393018018018,-0.13025083106678756,0.5393596986817326
